Site name,Country Name,Description,Coordinates,Region,Inscription date,Criteria
Prehistoric Pile Dwellings around the Alps,"Austria, France, Germany, Italy, Slovenia, Switzerland","This serial property of 111 small individual sites encompasses the remains of prehistoric pile-dwelling (or stilt house) settlements in and around the Alps built from around 5000 to 500 B.C. on the edges of lakes, rivers or wetlands. Excavations, only conducted in some of the sites, have yielded evidence that provides insight into life in prehistoric times during the Neolithic and Bronze Age in Alpine Europe and the way communities interacted with their environment. Fifty-six of the sites are located in Switzerland. The settlements are a unique group of exceptionally well-preserved and culturally rich archaeological sites, which constitute one of the most important sources for the study of early agrarian societies in the region.",N47 16 42 E8 12 27,N/A,2011,(iv)(v)
Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,Azerbaijan,"Built on a site inhabited since the Palaeolithic period, the Walled City of Baku reveals evidence of Zoroastrian, Sasanian, Arabic, Persian, Shirvani, Ottoman, and Russian presence in cultural continuity. The Inner City (Icheri Sheher) has preserved much of its 12th-century defensive walls. The 12th-century Maiden Tower (Giz Galasy) is built over earlier structures dating from the 7th to 6th centuries BC, and the 15th-century Shirvanshahs' Palace is one of the pearls of Azerbaijan's architecture.",N40 22 0 E49 49 60,Apsheron peninsula,2000,(iv)
Gobustan Rock Art Cultural Landscape,Azerbaijan,"Gobustan Rock Art Cultural Landscape covers three areas of a plateau of rocky boulders rising out of the semi-desert of central Azerbaijan, with an outstanding collection of more than 6,000 rock engravings bearing testimony to 40,000 years of rock art. The site also features the remains of inhabited caves, settlements and burials, all reflecting an intensive human use by the inhabitants of the area during the wet period that followed the last Ice Age, from the Upper Paleolithic to the Middle Ages. The site, which covers an area of 537 ha, is part of the larger protected Gobustan Reservation.",N40 7 30 E49 22 30,"Garadagh District and Apsheron District, Baku City Administrative Territory",2007,(iii)
Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun,Bahrain,"Qal’at al-Bahrain is a typical tell – an artificial mound created by many successive layers of human occupation. The strata of the 300 × 600 m tell testify to continuous human presence from about 2300 BC to the 16th century AD. About 25% of the site has been excavated, revealing structures of different types: residential, public, commercial, religious and military. They testify to the importance of the site, a trading port, over the centuries. On the top of the 12 m mound there is the impressive Portuguese fort, which gave the whole site its name, qal’a (fort). The site was the capital of the Dilmun, one of the most important ancient civilizations of the region. It contains the richest remains inventoried of this civilization, which was hitherto only known from written Sumerian references.",N26 13 59.016 E50 31 38,Northern Region,2005,(ii)(iii)(iv)
"Pearling, Testimony of an Island Economy",Bahrain,"The site consists of seventeen buildings in Muharraq City, three offshore oyster beds, part of the seashore and the Qal’at Bu Mahir fortress on the southern tip of Muharraq Island, from where boats used to set off for the oyster beds. The listed buildings include residences of wealthy merchants, shops, storehouses and a mosque. The site is the last remaining complete example of the cultural tradition of pearling and the wealth it generated at a time when the trade dominated the Gulf economy (2nd century to the 1930s, when Japan developed cultured pearls). It also constitutes an outstanding example of traditional utilization of the sea’s resources and human interaction with the environment, which shaped both the economy and the cultural identity of the island’s society.",N26 14 28.608 E50 36 48.636,N/A,2012,(iii)
Historic Mosque City of Bagerhat,Bangladesh,"Situated in the suburbs of Bagerhat, at the meeting-point of the Ganges and Brahmaputra rivers, this ancient city, formerly known as Khalifatabad, was founded by the Turkish general Ulugh Khan Jahan in the 15th century. The city’s infrastructure reveals considerable technical skill and an exceptional number of mosques and early Islamic monuments, many built of brick, can be seen there.",N22 40 0.012 E89 47 60,Khulna District,1985,(iv)
Ruins of the Buddhist Vihara at Paharpur,Bangladesh,"Evidence of the rise of Mahayana Buddhism in Bengal from the 7th century onwards, Somapura Mahavira, or the Great Monastery, was a renowned intellectual centre until the 12th century. Its layout perfectly adapted to its religious function, this monastery-city represents a unique artistic achievement. With its simple, harmonious lines and its profusion of carved decoration, it influenced Buddhist architecture as far away as Cambodia.",N25 1 60 E88 58 60,Naogaon Subdivision of Rajshahi District,1985,(i)(ii)(vi)
The Sundarbans,Bangladesh,"The Sundarbans mangrove forest, one of the largest such forests in the world (140,000 ha), lies on the delta of the Ganges, Brahmaputra and Meghna rivers on the Bay of Bengal. It is adjacent to the border of India’s Sundarbans World Heritage site inscribed in 1987. The site is intersected by a complex network of tidal waterways, mudflats and small islands of salt-tolerant mangrove forests, and presents an excellent example of ongoing ecological processes. The area is known for its wide range of fauna, including 260 bird species, the Bengal tiger and other threatened species such as the estuarine crocodile and the Indian python.",N21 56 60 E89 10 59.988,South-Western Region (Khulna Division),1997,(ix)(x)
Historic Bridgetown and its Garrison,Barbados,"Historic Bridgetown and its Garrison, an outstanding example of British colonial architecture consisting of a well-preserved old town built in the 17th, 18th and 19th centuries, which testifies to the spread of Great Britain's Atlantic colonial empire. The property also includes a nearby military garrison which consists of numerous historic buildings. With its serpentine urban lay-out the property testifies to a different approach to colonial town-planning compared to the Spanish and Dutch colonial cities of the region which were built along a grid plan.",N13 5 48 W59 36 50,N/A,2011,(ii)(iii)(iv)
Białowieża Forest,"Belarus, Poland","The Białowieża Forest World Heritage site, on the border between Poland and Belarus, is an immense range of primary forest including both conifers and broadleaved trees covering a total area of 141,885 hectares. Situated on the watershed of the Baltic Sea and Black Sea, this transboundary property is exceptional for the opportunities it offers for biodiversity conservation. It is home to the largest population of the property’s iconic species, the European bison.",N52 43 39 E23 58 52,N/A,1979,(ix)(x)
Mir Castle Complex,Belarus,"The construction of this castle began at the end of the 15th century, in Gothic style. It was subsequently extended and reconstructed, first in the Renaissance and then in the Baroque style. After being abandoned for nearly a century and suffering severe damage during the Napoleonic period, the castle was restored at the end of the 19th century, with the addition of a number of other elements and the landscaping of the surrounding area as a park. Its present form is graphic testimony to its often turbulent history.",N53 27 3.9 E26 28 21.8,"Grodno Province (oblast), Korelichi District",2000,(ii)(iv)
